BLZ;Institutsname;BIC
10000000;BBk Berlin;MARKDEF1100
10010010;Postbank Berlin;PBNKDEFFXXX
10010111;SEB Berlin;ESSEDE5F100
10010424;Aareal Bank;AARBDE5W100
10019610;Dexia Berlin;DXIADEBBXXX
10020200;BHF-BANK Berlin;BHFBDEFF100
10020500;Bank für Sozialwirtschaft;BFSWDE33BER
10020890;UniCredit Bank-HypoVereinbk;HYVEDEMM488
10030200;Berlin Hyp;BHYPDEB2XXX
10030400;ABK-Kreditbank Berlin;ABKBDEB1XXX
10030500;Bankhaus Löbbecke Berlin;LOEBDEBBXXX
10030600;North Channel Bank Mainz;GENODEF1OGK
10030700;Eurocity Bank;DLGHDEB1XXX
10033300;Santander Bank Berlin;SCFBDE33XXX
10040000;Commerzbank Fil. Berlin 1;COBADEBBXXX
10040010;Commerzbank CC SP, Berlin;COBADEFFXXX
10040048;Commerzbank BER GF-B48;COBADEFFXXX
10040060;Commerzbank Gf 160 Berlin;COBADEFFXXX
10040061;Commerzbank Gf 161 Berlin;COBADEFFXXX
10040062;Commerzbank CC Berlin;COBADEFFXXX
10040063;Commerzbank CC Berlin;COBADEFFXXX
10040085;Commerzbank Gf WK, Berlin;COBADEFFXXX
10045050;Commerzbank Service-BZ;COBADEFFXXX
10050000;LBB - Berliner Sparkasse;BELADEBEXXX
10050005;Landesbank Berlin - E 1 -;BELADEB1DB5
10050006;Landesbank Berlin - E 2 -;BELADEB1DB6
10050007;Landesbank Berlin - E 3 -;BELADEB1DB7
10050008;Landesbank Berlin - E 4 -;BELADEB1DB8
10050020;LBB S-Kreditpartner, Berlin;SKPADEB1XXX
10050500;LBS Ost Berlin;LBSODEB1BLN
10050999;DekaBank Berlin;DGZFDEFFBER
10060198;Pax-Bank Berlin;GENODED1PA6
10060237;EDG Berlin -alt-;GENODEF1EDG
10061006;KD-Bank Berlin;GENODED1KDB
10070000;Deutsche Bank Fil Berlin;DEUTDEBBXXX
10070024;Deutsche Bank PGK Berlin;DEUTDEDBBER
10070100;Deutsche Bank Fil Berlin II;DEUTDEBB101
10070124;Deutsche Bank PGK Berlin II;DEUTDEDB101
10070848;Berliner Bk Ndl Deutsche Bk;DEUTDEDB110
10077777;norisbank Berlin;NORSDE51XXX
10080000;Commerzbank Fil I Berlin;DRESDEFF100
10080005;Commerzbank Berlin Zw A;DRESDEFFI26
10080006;Commerzbank Berlin Zw B;DRESDEFFXXX
10080055;Commerzbank Zw 55 Berlin;DRESDEFF112
10080057;Commerzbk ZW 57 Berlin;DRESDEFF114
10080085;Commerzbank ITKG3 Berlin;DRESDEFFI53
10080086;Commerzbank ITGK4 Berlin;DRESDEFFI71
10080087;Commerzbank ITGK5 Berlin;DRESDEFFI72
10080088;Commerzbank IBLZ Berlin;DRESDEFFXXX
10080089;Commerzbank ITGK6 Berlin;DRESDEFFI73
10080900;Commerzbk Fil III Berlin;DRESDEFF199
10089260;Commerzbank ITGK Berlin;DRESDEFFI14
10089999;Commerzbank ITGK 2 Berlin;DRESDEFFI99
10090000;Berliner VB Berlin;BEVODEBBXXX
10090300;Bk f Schiffahrt BFS Berlin;GENODEF1BSB
10090603;apoBank Berlin;DAAEDED1003
10090900;PSD Bank Berlin;GENODEF1P01
10110300;Privatbank Berlin von 1929;MACODEB1XXX
10110400;Investitionsbank Berlin;IBBBDEBBXXX
10110600;quirin bank;QUBKDEBBXXX
10120100;Weberbank;WELADED1WBB
10120600;Santander Consumer Bank;SCFBDE33XXX
10120800;VON ESSEN Bank;VONEDE33BLN
10130600;Isbank Berlin;ISBKDEFXBER
10130800;BIW Bank;BIWBDE33XXX
10220500;Bank of Scotland Berlin;BOFSDEB1XXX
10220600;Sydbank Berlin;SYBKDE22BER
10310600;Tradegate Berlin;TRDADEB1PBK
12016836;KfW Berlin;KFWIDEFF100
12030000;Deutsche Kreditbank Berlin;BYLADEM1001
12030900;Merck Finck & Co Berlin;MEFIDEMM100
12040000;Commerzbank Fil. Berlin 2;COBADEBB120
12050555;NLB FinanzIT;NOLADE21DVS
12060000;DZ BANK;GENODEFF120
12070000;Deutsche Bank Ld Brandenbg;DEUTDEBB160
12070024;Deutsche Bank PGK Brandenbg;DEUTDEDB160
12070070;Deutsche Bank (Gf intern);DEUTDEFFVAC
12070088;Deutsche Bank (Gf intern);DEUTDEDBPAL
12080000;Commerzbank Fil II Berlin;DRESDEFF120
12090640;apoBank -ZV-Ost- Berlin;DAAEDED1040
12096597;Sparda-Bank Berlin;GENODEF1S10
13000000;BBk Rostock;MARKDEF1130
13010111;SEB Rostock;ESSEDE5F130
13040000;Commerzbank Rostock;COBADEFFXXX
13050000;Ostseesparkasse Rostock;NOLADE21ROS
13051042;Spk Vorpommern auf Rügen;NOLADE21RUE
13061008;Volksbank Wolgast;GENODEF1WOG
13061028;Volksbank Raiffeisenbank;GENODEF1GW1
13061078;VB u Raiffbk;GENODEF1HWI
13061088;VB u Raiffbk -alt-;GENODEF1HWR
13061128;Raiffeisenbank Bad Doberan;GENODEF1DBR
13070000;Deutsche Bank Rostock;DEUTDEBRXXX
13070024;Deutsche Bank PGK Rostock;DEUTDEDBROS
13080000;Commerzbank Rostock;DRESDEFF130
13090000;Rostocker VR Bank;GENODEF1HR1
13091054;Pommersche Volksbank;GENODEF1HST
13091084;VB u Raiffbk -alt-;GENODEF1HWV
14040000;Commerzbank Schwerin;COBADEFFXXX
14051000;Spk Mecklenburg-Nordwest;NOLADE21WIS
14051362;Sparkasse Parchim-Lübz;NOLADE21PCH
14051462;Sparkasse Schwerin -alt-;NOLADE21SNS
14052000;Spk Mecklenburg-Schwerin;NOLADE21LWL
14061308;VB u Raiffbk Güstrow;GENODEF1GUE
14061438;Raiffeisen-VB Gadebusch-alt;GENODEF1GDB
14080000;Commerzbank Schwerin;DRESDEFF140
14080011;Commerzbank Schwerin Zw W;DRESDEFFI27
14091464;VR-Bank Schwerin;GENODEF1SN1
15000000;BBk Neubrandenburg;MARKDEF1150
15040068;Commerzbank Neubrandenburg;COBADEFFXXX
15050100;Müritz-Sparkasse Waren;NOLADE21WRN
15050200;Spk Neubrandenburg-Demmin;NOLADE21NBS
15050400;Sparkasse Uecker-Randow;NOLADE21PSW
15050500;Spk Vorpommern;NOLADE21GRW
15051732;Spk Mecklenburg-Strelitz;NOLADE21MST
15061618;Raiffbk Mecklenb Seenplatte;GENODEF1WRN
15061638;Volksbank Raiffeisenbank;GENODEF1ANK
15061698;Raiffeisenbank Malchin;GENODEF1MAL
15080000;Commerzbank Neubrandenbg;DRESDEFF150
15091674;Volksbank Demmin;GENODEF1DM1
15091704;VR-Bank Uckermark-Randow;GENODEF1PZ1
16010111;SEB Potsdam;ESSEDE5F160
16010300;Investitionsbk Potsdam;ILBXDE8XXXX
16020086;UniCredit Bank-HypoVereinbk;HYVEDEMM470
16040000;Commerzbank Potsdam;COBADEFFXXX
16050000;Mittelbrandenbg Sparkasse;WELADED1PMB
16050101;Sparkasse Prignitz;WELADED1PRP
16050202;Spk Ostprignitz-Ruppin;WELADED1OPR
16050500;LBS Ost Potsdam;LBSODEB1XXX
16060122;Volks- u Raiffbk Prignitz;GENODEF1PER
16061938;Raiffeisenbank Ostpr-Ruppin;GENODEF1NPP
16062008;VR-Bank Fläming;GENODEF1LUK
16062073;Brandenburger Bank;GENODEF1BRB
16080000;Commerzbank Potsdam;DRESDEFF160
16091994;Volksbank Rathenow;GENODEF1RN1
17020086;UniCredit Bank-HypoVereinbk;HYVEDEMM471
17040000;Commerzbank Frankfurt Oder;COBADEFFXXX
17052000;Sparkasse Barnim Eberswalde;WELADED1GZE
17052302;St Spk Schwedt;WELADED1UMX
17054040;Spk Märkisch-Oderland;WELADED1MOL
17055050;Sparkasse Oder-Spree;WELADED1LOS
17056060;Spk Uckermark Prenzlau;WELADED1UMP
17062428;Raiff-VB Oder-Spree Beeskow;GENODEF1BKW
17080000;Commerzbank Frankfurt, O;DRESDEFF170
17092404;VR Bank Fürstenwalde;GENODEF1FW1
18020086;UniCredit Bank-HypoVereinbk;HYVEDEMM472
18040000;Commerzbank Cottbus;COBADEFFXXX
18050000;Sparkasse Spree-Neiße;WELADED1CBN
18051000;Sparkasse Elbe-Elster;WELADED1EES
18055000;Sparkasse Niederlausitz;WELADED1OSL
18062678;VR Bank Lausitz;GENODEF1FWA
18062758;VR Bank Forst;GENODEF1FOR
18080000;Commerzbank Cottbus;DRESDEFF180
18092684;Spreewaldbank Lübben;GENODEF1LN1
18092744;Volksbank Spree-Neiße;GENODEF1SPM
20000000;BBk Hamburg;MARKDEF1200
20010020;Postbank -Giro- Hamburg;PBNKDEFFXXX
20010111;SEB Hamburg;ESSEDE5F200
20010424;Aareal Bank;AARBDE5W200
20020200;SEB Merchant Bank Hamburg;ESSEDEFFHAM
20020500;Jyske Bank Hamburg;JYBADEHHXXX
20020900;Signal Iduna Bauspar;SIBSDEHHXXX
20030000;UniCredit Bank-HypoVereinbk;HYVEDEMM300
20030133;Varengold Bank;VGAGDEHHXXX
20030300;DONNER & REUSCHEL;CHDBDEHHXXX
20030400;Marcardbank Hamburg;MCRDDEHHXXX
20030600;Sydbank Hamburg;SYBKDE22HAM
20030700;Merck Finck & Co Hamburg;MEFIDEMM200
20030900;Wölbernbank Hamburg;WOELDEHHXXX
20040000;Commerzbank Hamburg;COBADEHHXXX
20040020;Commerzbank CC SP, Hamburg;COBADEFFXXX
20040040;Commerzbank GF RME, Hamburg;COBADEFFXXX
20040048;Commerzbank HBG GF-H48;COBADEFFXXX
20040050;Commerzbank GF COC;COBADEFFXXX
20040060;Commerzbank Gf 260 Hamburg;COBADEFFXXX
20040061;Commerzbank Gf 261 Hamburg;COBADEFFXXX
20040062;Commerzbank CC Hamburg;COBADEFFXXX
20040063;Commerzbank CC Hamburg;COBADEFFXXX
20041111;comdirect bank Quickborn;COBADEHDXXX
20041133;comdirect bank Quickborn;COBADEHD001
20041144;comdirect bank Quickborn;COBADEHD044
20041155;comdirect bank;COBADEHD055
20050000;HSH Nordbank Hamburg;HSHNDEHH200
20050550;Haspa Hamburg;HASPDEHHXXX
20060000;DZ BANK;GENODEFF200
20069111;Norderstedter Bank;GENODEF1NDR
20069125;Kaltenkirchener Bank;GENODEF1KLK
20069130;Raiffbk;GENODEF1BBR
20069144;Raiffeisenbank Seestermühe;GENODEF1SST
20069177;Raiffbk Südstormarn Mölln;GENODEF1GRS
20069232;Raiffbk Struvenhütten;GENODEF1STV
20069641;Raiffeisenbank Owschlag;GENODEF1OWS
20069780;Volksbank Ahlerstedt;GENODEF1AST
20069782;Volksbank Geest;GENODEF1APE
20069786;VB Kehdingen;GENODEF1DRO
20069800;Spar- und Kreditbank Hammah;GENODEF1HAA
20069812;VB Fredenbeck-Oldendorf;GENODEF1FRB
20069815;Volksbank Oldendorf;GENODEF1815
20069861;Raiffeisenbank Ratzeburg;GENODEF1RRZ
20069882;Raiffbk Travemünde -alt-;GENODEF1RLT
20069965;VB Winsener Marsch;GENODEF1WIM
20069989;Volksbank Wulfsen;GENODEF1WUL
20070000;Deutsche Bank Hamburg;DEUTDEHHXXX
20070024;Deutsche Bank PGK Hamburg;DEUTDEDBHAM
20080000;Commerzbank Hamburg;DRESDEFF200
20080055;Commerzbank Zw 55 Hamburg;DRESDEFF207
20080057;Commerzbk ZW 57 Hamburg;DRESDEFF208
20080085;Commerzbank ITKG2 Hamburg;DRESDEFFI56
20080086;Commerzbank ITGK 3;DRESDEFFI63
20080087;Commerzbank ITGK4 Hamburg;DRESDEFFI64
20080088;Commerzbank ITGK5 Hamburg;DRESDEFFI74
20080089;Commerzbank ITGK6 Hamburg;DRESDEFFI75
20080091;Commerzbank ITGK 7;DRESDEFFJ33
20080092;Commerzbank ITGK 8;DRESDEFFJ34
20080093;Commerzbank ITGK 9;DRESDEFFJ35
20080094;Commerzbank ITGK 10;DRESDEFFJ36
20080095;Commerzbank ITGK 11;DRESDEFFJ37
20089200;Commerzbank ITGK Hamburg;DRESDEFFI06
20090400;DG HYP Hamburg;DGHYDEH1XXX
20090500;netbank;GENODEF1S15
20090602;apoBank Hamburg;DAAEDED1002
20090700;Edekabank Hamburg;EDEKDEHHXXX
20090745;EBANK Gf Cash Hamburg;EDEKDEHHXXX
20090900;PSD Bank Nord Hamburg;GENODEF1P08
20110022;Postbank -Spar- Hamburg;PBNKDEFFXXX
20110700;BTMU Hamburg;BOTKDEH1XXX
20110800;Bank of China Hamburg;BKCHDEFFHMB
20120000;Berenberg, Hamburg;BEGODEHHXXX
20120100;M.M. Warburg Bank;WBWCDEHHXXX
20120200;BHF-BANK Hamburg;BHFBDEFF200
20120400;Deutscher Ring Bspk Hamburg;DRBKDEH1XXX
20120600;Goyer & Göppel Hamburg;GOGODEH1XXX
20120700;Hanseatic Bank Hamburg;HSTBDEHHXXX
20130400;GRENKE BANK;GREBDEH1XXX
20130600;Barclaycard;BARCDEHAXXX
20133300;Santander Bank Hamburg;SCFBDE33XXX
20190003;Hamburger Volksbank;GENODEF1HH2
20190109;VB Stormarn;GENODEF1HH4
20190206;VB Hamburg Ost-West -alt-;GENODEF1HH1
20190301;Vierländer VB Hamburg;GENODEF1HH3
20190800;MKB Hamburg;GENODEF1MKB
20210200;Bank Melli Iran Hamburg;
20210300;Bank Saderat Iran Hamburg;
20220100;DNB Bank;DNBADEHXXXX
20220400;M.M. Warburg Hyp Hamburg;MMWHDEH1XXX
20230300;Schröderbank Hamburg;OSCBDEH1XXX
20230600;Isbank Hamburg;ISBKDEFXHAM
20230800;Sutor Bank Hamburg;MHSBDEHBXXX
20310300;Europ-Iran Handelsbk Hambg;
20320500;Danske Bank Hamburg;DABADEHHXXX
20690500;Sparda-Bank Hamburg;GENODEF1S11
20730001;UniCredit Bk Settlemt EAC01;HYVEDEMME01
20730002;UniCredit Bk Settlemt EAC02;HYVEDEMME02
20730003;UniCredit Bk Settlemt EAC03;HYVEDEMME03
20730004;UniCredit Bk Settlemt EAC04;HYVEDEMME04
20730005;UniCredit Bk Settlemt EAC05;HYVEDEMME05
20730006;UniCredit Bk Settlemt EAC06;HYVEDEMME06
20730007;UniCredit Bk Settlemt EAC07;HYVEDEMME07
20730008;UniCredit Bk Settlemt EAC08;HYVEDEMME08
20730009;UniCredit Bk Settlemt EAC09;HYVEDEMME09
20730010;UniCredit Bk Settlemt EAC10;HYVEDEMME10
20730011;UniCredit Bk Settlemt EAC11;HYVEDEMME11
20730012;UniCredit Bk Settlemt EAC12;HYVEDEMME12
20730013;UniCredit Bk Settlemt EAC13;HYVEDEMME13
20730014;UniCredit Bk Settlemt EAC14;HYVEDEMME14
20730015;UniCredit Bk Settlemt EAC15;HYVEDEMME15
20730016;UniCredit Bk Settlemt EAC16;HYVEDEMME16
20730017;UniCredit Bk Settlemt EAC17;HYVEDEMME17
20730018;UniCredit Bk Settlemt EAC18;HYVEDEMME18
20730019;UniCredit Bk Settlemt EAC19;HYVEDEMME19
20730020;UniCredit Bk Settlemt EAC20;HYVEDEMME20
20730021;UniCredit Bk Settlemt EAC21;HYVEDEMME21
20730022;UniCredit Bk Settlemt EAC22;HYVEDEMME22
20730023;UniCredit Bk Settlemt EAC23;HYVEDEMME23
20730024;UniCredit Bk Settlemt EAC24;HYVEDEMME24
20730025;UniCredit Bk Settlemt EAC25;HYVEDEMME25
20730026;UniCredit Bk Settlemt EAC26;HYVEDEMME26
20730027;UniCredit Bk Settlemt EAC27;HYVEDEMME27
20730028;UniCredit Bk Settlemt EAC28;HYVEDEMME28
20730029;UniCredit Bk Settlemt EAC29;HYVEDEMME29
20730030;UniCredit Bk Settlemt EAC30;HYVEDEMME30
20730031;UniCredit Bk Settlemt EAC31;HYVEDEMME31
20730032;UniCredit Bk Settlemt EAC32;HYVEDEMME32
20730033;UniCredit Bk Settlemt EAC33;HYVEDEMME33
20730034;UniCredit Bk Settlemt EAC34;HYVEDEMME34
20730035;UniCredit Bk Settlemt EAC35;HYVEDEMME35
20730036;UniCredit Bk Settlemt EAC36;HYVEDEMME36
20730037;UniCredit Bk Settlemt EAC37;HYVEDEMME37
20730038;UniCredit Bk Settlemt EAC38;HYVEDEMME38
20730039;UniCredit Bk Settlemt EAC39;HYVEDEMME39
20730040;UniCredit Bk Settlemt EAC40;HYVEDEMME40
20750000;Spk Harburg-Buxtehude;NOLADE21HAM
21000000;BBk Kiel;MARKDEF1210
21010111;SEB Kiel;ESSEDE5F210
21020600;Sydbank Fil. Kiel;SYBKDE22KIE
21040010;Commerzbank Kiel;COBADEFFXXX
